traced_nodes,nl,trial,timestamp,strategy,numLocales,tracePath,totalTime,throughput,source_run
32,64,5,2026-07-18T00-37-32.348678,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,64.808481,36935194,run_20260717_215056
128,16,1,2026-07-18T00-45-46.005652,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,407.835788,50599500,run_20260717_215056
128,16,2,2026-07-18T00-52-46.888181,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,394.482006,52312366,run_20260717_215056
128,16,3,2026-07-18T00-59-40.018832,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,386.565166,53383721,run_20260717_215056
128,16,4,2026-07-18T01-06-33.219034,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,386.724695,53361700,run_20260717_215056
128,16,5,2026-07-18T01-13-32.687900,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,390.653645,52825021,run_20260717_215056
128,32,1,2026-07-18T01-19-23.793058,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,276.136577,74732175,run_20260717_215056
128,32,2,2026-07-18T01-24-42.553446,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,293.028542,70424154,run_20260717_215056
128,32,3,2026-07-18T01-30-23.894132,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,242.58723,85067491,run_20260717_215056
128,32,4,2026-07-18T01-36-24.340681,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,269.195021,76659245,run_20260717_215056
128,32,5,2026-07-18T01-42-20.936446,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,247.232452,83469168,run_20260717_215056
128,64,1,2026-07-18T01-48-07.669097,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,257.328438,80194351,run_20260717_215056
128,64,2,2026-07-18T01-52-48.212367,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,254.906038,80956447,run_20260717_215056
128,64,3,2026-07-18T01-57-33.340201,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,259.170316,79624424,run_20260717_215056
128,64,4,2026-07-18T02-01-38.645414,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,219.491946,94018425,run_20260717_215056
128,64,5,2026-07-18T02-06-22.624306,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,257.623156,80102610,run_20260717_215056
128,128,1,2026-07-19T09-25-44.345208,locgroup_dist_block,128,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,208.830536,98818341,run_20260717_215056
128,128,2,2026-07-19T09-29-37.945431,locgroup_dist_block,128,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,205.785342,100280646,run_20260717_215056
128,128,3,2026-07-19T09-33-36.110492,locgroup_dist_block,128,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,212.227609,97236581,run_20260717_215056
128,128,4,2026-07-19T09-37-27.411491,locgroup_dist_block,128,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,204.805129,100760597,run_20260717_215056
128,128,5,2026-07-19T09-41-21.695730,locgroup_dist_block,128,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/one-cabinet/traces.otf2,206.761126,99807384,run_20260717_215056
384,64,1,2026-07-19T13-51-46.754586,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,503.841474,211782527,run_20260717_215056
384,64,2,2026-07-19T14-01-28.459392,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,547.859107,194766901,run_20260717_215056
384,64,3,2026-07-19T14-10-20.087772,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,498.2231,214170761,run_20260717_215056
384,64,4,2026-07-19T14-19-45.399079,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,532.341134,200444440,run_20260717_215056
384,64,5,2026-07-19T14-28-46.221082,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,504.088003,211678952,run_20260717_215056
384,128,1,2026-07-20T05-49-26.602543,locgroup_dist_block,128,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,457.162835,233406594,run_20260717_215056
384,128,2,2026-07-20T05-57-38.208770,locgroup_dist_block,128,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,460.176666,231877947,run_20260717_215056
384,128,3,2026-07-20T06-05-52.611669,locgroup_dist_block,128,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,460.841589,231543383,run_20260717_215056
384,128,4,2026-07-20T06-13-50.565485,locgroup_dist_block,128,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,447.093593,238663273,run_20260717_215056
384,128,5,2026-07-20T06-22-00.416087,locgroup_dist_block,128,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,459.989834,231972127,run_20260717_215056
384,256,1,2026-07-20T06-35-18.043274,locgroup_dist_block,256,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,415.123605,257043490,run_20260717_215056
384,256,2,2026-07-20T06-43-00.376105,locgroup_dist_block,256,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,429.821113,248254023,run_20260717_215056
384,256,3,2026-07-20T06-49-46.165302,locgroup_dist_block,256,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,371.77136,287017323,run_20260717_215056
384,256,4,2026-07-20T06-56-34.766894,locgroup_dist_block,256,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,372.774338,286245081,run_20260717_215056
384,256,5,2026-07-20T07-04-04.161369,locgroup_dist_block,256,/lustre/orion/csc688/world-shared/scorep-amd/runs/scorep-rocHPL/experiments/three-cabinet/traces.otf2,419.509163,254356352,run_20260717_215056
